Gene stable ID,db7a781d-67d2-4859-a6f5-c167cd64d149
ENSG00000066248,40
ENSG00000066279,703
ENSG00000066294,2623
ENSG00000066322,5292
ENSG00000066336,3210
ENSG00000066379,899
ENSG00000066382,296
ENSG00000066405,16
ENSG00000066422,2701
ENSG00000066427,1870
ENSG00000066455,5990
ENSG00000066468,757
ENSG00000066557,1573
ENSG00000066583,893
ENSG00000066629,1980
ENSG00000066651,829
ENSG00000066654,7676
ENSG00000066697,1427
ENSG00000066735,369
ENSG00000066739,3551
ENSG00000066777,8005
ENSG00000066813,0
ENSG00000066827,921
ENSG00000066855,1887
ENSG00000066923,111
ENSG00000066926,2627
ENSG00000066933,4222
ENSG00000067048,0
ENSG00000067057,6387
ENSG00000067064,2522
ENSG00000067066,6557
ENSG00000067082,20623
ENSG00000067113,1927
ENSG00000067141,6255
ENSG00000067167,16545
ENSG00000067177,1398
ENSG00000067182,13342
ENSG00000067191,450
ENSG00000067208,2045
ENSG00000067221,1072
ENSG00000067225,137874
ENSG00000067248,4323
ENSG00000067334,6173
ENSG00000067365,689
ENSG00000067369,6044
ENSG00000067445,748
ENSG00000067533,1707
ENSG00000067560,58684
ENSG00000067596,6036
ENSG00000067601,89
ENSG00000067606,1042
ENSG00000067646,0
ENSG00000067704,11284
ENSG00000067715,511
ENSG00000067798,887
ENSG00000067829,3013
ENSG00000067836,2980
ENSG00000067840,105
ENSG00000067842,5
ENSG00000067900,9230
ENSG00000067955,4529
ENSG00000067992,1239
ENSG00000068001,3879
ENSG00000068024,637
ENSG00000068028,2162
ENSG00000068078,76
ENSG00000068079,1217
ENSG00000068097,1746
ENSG00000068120,5125
ENSG00000068137,2041
ENSG00000068305,5067
ENSG00000068308,4975
ENSG00000068323,5608
ENSG00000068354,1247
ENSG00000068366,5677
ENSG00000068383,1804
ENSG00000068394,1769
ENSG00000068400,3461
ENSG00000068438,3531
ENSG00000068489,558
ENSG00000068615,585
ENSG00000068650,2255
ENSG00000068654,4106
ENSG00000068697,46100
ENSG00000068724,3510
ENSG00000068745,4270
